
1,440,8,50.9,79,440,163,1.30.07,1.24.28,3,2018-10-04,normal,ankara,1400,kum,40,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,3.70,1
2,441,2,63,132,441,164,1.30.11,1.24.28,6,2018-10-04,normal,ankara,1400,kum,70,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,8.10,0
3,442,7,51.5,71,442,12,1.30.17,1.24.28,2,2018-10-04,normal,ankara,1400,kum,52,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,2.05,0
4,443,9,50.6,133,443,165,1.30.87,1.24.28,4,2018-10-04,normal,ankara,1400,kum,33,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,23.10,0
5,444,6,55.5,134,444,25,1.31.05,1.24.28,1,2018-10-04,normal,ankara,1400,kum,60,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,4.65,0
6,445,4,58.5,4,445,166,1.31.14,1.24.28,5,2018-10-04,normal,ankara,1400,kum,61,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,2.85,0
7,446,5,58,135,446,167,1.31.15,1.24.28,9,2018-10-04,normal,ankara,1400,kum,60,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,5.40,0
8,447,1,63,75,447,168,1.33.71,1.24.28,7,2018-10-04,normal,ankara,1400,kum,75,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,3.65,0

1,449,9,53.2,22,144,170,2.12.49,2.06.46,7,2018-10-04,normal,ankara,1900,çim,54,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,4.35,1
2,450,2,60,136,450,14,2.12.54,2.06.46,10,2018-10-04,normal,ankara,1900,çim,85,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,4.35,0
3,451,6,57,17,451,12,2.13.46,2.06.46,3,2018-10-04,normal,ankara,1900,çim,67,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,2.10,0
4,452,1,59,32,452,171,2.13.91,2.06.46,9,2018-10-04,normal,ankara,1900,çim,79,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,2.70,0
5,453,4,58,11,453,168,2.13.96,2.06.46,8,2018-10-04,normal,ankara,1900,çim,35,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,4.50,0
6,454,8,56.4,18,454,14,2.15.56,2.06.46,4,2018-10-04,normal,ankara,1900,çim,37,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,23.55,0
7,455,5,55.0,137,436,172,2.19.67,2.06.46,5,2018-10-04,normal,ankara,1900,çim,41,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,10.15,0
8,456,3,55,40,456,14,2.20.10,2.06.46,6,2018-10-04,normal,ankara,1900,çim,45,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,5.35,0
9,457,7,55,10,457,33,2.20.19,2.06.46,1,2018-10-04,normal,ankara,1900,çim,24,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,NULL,21.75,0
