sıra_0,age_0,kilo_0,starting_position_0,handikap_0,normalized_time_for_horse_0,lengths_behind_winner_0,normalized_time_for_comp_0,avg_position_0,new_dist_0,jokey_win_rate_0,owner_win_rate_0,trainer_win_rate_0,city_pref_0,distance_pref_0,mat_pref_0,days_since_last_race_0,ganyan_0,sıra_1,age_1,kilo_1,starting_position_1,handikap_1,normalized_time_for_horse_1,lengths_behind_winner_1,normalized_time_for_comp_1,avg_position_1,new_dist_1,jokey_win_rate_1,owner_win_rate_1,trainer_win_rate_1,city_pref_1,distance_pref_1,mat_pref_1,days_since_last_race_1,ganyan_1,sıra_2,age_2,kilo_2,starting_position_2,handikap_2,normalized_time_for_horse_2,lengths_behind_winner_2,normalized_time_for_comp_2,avg_position_2,new_dist_2,jokey_win_rate_2,owner_win_rate_2,trainer_win_rate_2,city_pref_2,distance_pref_2,mat_pref_2,days_since_last_race_2,ganyan_2,sıra_3,age_3,kilo_3,starting_position_3,handikap_3,normalized_time_for_horse_3,lengths_behind_winner_3,normalized_time_for_comp_3,avg_position_3,new_dist_3,jokey_win_rate_3,owner_win_rate_3,trainer_win_rate_3,city_pref_3,distance_pref_3,mat_pref_3,days_since_last_race_3,ganyan_3,sıra_4,age_4,kilo_4,starting_position_4,handikap_4,normalized_time_for_horse_4,lengths_behind_winner_4,normalized_time_for_comp_4,avg_position_4,new_dist_4,jokey_win_rate_4,owner_win_rate_4,trainer_win_rate_4,city_pref_4,distance_pref_4,mat_pref_4,days_since_last_race_4,ganyan_4,sıra_5,age_5,kilo_5,starting_position_5,handikap_5,normalized_time_for_horse_5,lengths_behind_winner_5,normalized_time_for_comp_5,avg_position_5,new_dist_5,jokey_win_rate_5,owner_win_rate_5,trainer_win_rate_5,city_pref_5,distance_pref_5,mat_pref_5,days_since_last_race_5,ganyan_5,sıra_6,age_6,kilo_6,starting_position_6,handikap_6,normalized_time_for_horse_6,lengths_behind_winner_6,normalized_time_for_comp_6,avg_position_6,new_dist_6,jokey_win_rate_6,owner_win_rate_6,trainer_win_rate_6,city_pref_6,distance_pref_6,mat_pref_6,days_since_last_race_6,ganyan_6,sıra_7,age_7,kilo_7,starting_position_7,handikap_7,normalized_time_for_horse_7,lengths_behind_winner_7,normalized_time_for_comp_7,avg_position_7,new_dist_7,jokey_win_rate_7,owner_win_rate_7,trainer_win_rate_7,city_pref_7,distance_pref_7,mat_pref_7,days_since_last_race_7,ganyan_7,win_bit
1,1,58,5,89,0.0001166837846119075,-0.005759927734237639,0.00011461336258092441,0.43402777777777773,0,0.21014492753623187,0.125,0.20930232558139536,0.0,0.05555555555555555,0.0,9,1.15,2,7,55.8,3,26,0.00015097713932381946,-0.044105951459351936,0.000152820660515473,0.6139860139860139,0,0.02843601895734597,0.07575757575757576,0.08583106267029973,0.0,0.13043478260869565,0.0,21,22.70,3,5,58,6,47,0.00017750309185292064,-0.00814293594712658,0.00017406219249046194,0.38030303030303036,0,0.14638297872340425,0.13372093023255813,0.07419354838709677,0.0,0.08333333333333333,0.0,19,5.10,4,4,58,2,44,0.00012248363686670081,-0.012529360084194462,0.00012081850405368488,0.30406746031746035,0,0.12252252252252252,0.07352941176470588,0.07929515418502203,0.0,0.0,0.0,7,6.20,5,3,58.2,1,44,0.00015346931655389924,-0.01754039175708232,0.00015200534011582234,0.5847763347763348,0,0.08294930875576037,0.04310344827586207,0.047516198704103674,0.0,0.034482758620689655,0.0,7,5.85,6,6,54,8,34,0.00012058998013601702,-0.036728052830647055,0.00012113018116105439,0.5111111111111111,0,0.10320478001086367,0.1111111111111111,0.08103975535168195,0.0,0.09090909090909091,0.0,5,12.70,7,8,53.7,4,29,0.00013436158277060705,-0.02922651202488516,0.00013175431888017174,0.46363636363636357,0,0.045743329097839895,0.0,0.13761467889908258,0.0,0.0,0.0,38,25.75,8,2,56.7,7,44,0.00016726912675995315,-0.016074499599236822,0.00016253063655776503,0.231109022556391,0,0.09417040358744394,0.04310344827586207,0.047516198704103674,0.0,0.06451612903225806,0.0,12,5.85,0
1,8,57,9,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,1.30,2,5,57,4,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,3.30,3,2,57,1,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,6.80,4,3,57,5,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,13.20,5,7,57,2,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,7.25,6,1,57,6,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,28.65,7,6,57.1,8,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,16.65,8,4,57,3,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,26.55,0
1,6,53.1,1,57,0.00018594851429583882,-0.004321669285015336,0.00018393720472851266,0.41089466089466087,0,0.17006802721088435,0.21428571428571427,0.1,0.0,0.07142857142857142,0.0,10,4.35,2,3,60.5,8,63,0.00021482712567452993,-0.005193175716773043,0.0002130599573630089,0.32013888888888886,0,0.14265603003284844,0.2,0.11261261261261261,0.0625,0.0625,0.0625,12,5.25,3,5,58.5,2,59,0.00019819738083627416,0.0008256116373972852,0.00019606391105440632,0.22758838383838384,0,0.23273809523809524,0.13333333333333333,0.2033898305084746,0.07407407407407407,0.0,0.07407407407407407,8,3.00,4,4,59,4,60,0.00014456831026007187,-0.009919978598630436,0.00014500053397930587,0.5166666666666666,0,0.14638297872340425,0.25,0.22685788787483702,0.0,0.08333333333333333,0.0,13,7.80,5,1,60,3,68,0.0002079346863973644,-0.012907041014088558,0.00020745961792391232,0.6388888888888888,0,0.050473186119873815,0.08571428571428572,0.08103975535168195,0.0,0.0,0.0,12,8.40,6,7,55,6,52,0.00017590642624127793,-0.0341548344768246,0.00017737980655556758,0.6493055555555556,0,0.10120481927710843,0.18604651162790697,NaN,0.0,0.03571428571428571,0.0,12,9.10,7,2,61,7,66,0.00019296337865020628,0.0,0.0001908541351810831,0.12251984126984126,0,0.09738717339667459,0.14492753623188406,0.10218978102189781,0.0,0.058823529411764705,0.0,14,3.50,8,8,52.0,5,32,0.00018365514705050276,-0.008796077543869844,0.00018370869691601213,0.501984126984127,0,0.05803571428571429,0.08264462809917356,0.14634146341463414,0.03333333333333333,0.0,0.03333333333333333,14,6.60,0
1,2,55,6,54,0.00020688872299944126,-0.011393681594003103,0.0002032470290952647,0.40813492063492063,0,0.16447069513857338,0.15270935960591134,0.22685788787483702,0.0,0.0,0.0,10,4.20,2,8,56.0,2,39,0.00018871646359343845,-0.022758863776752007,0.00018713805617850206,0.500030525030525,0,0.07373271889400922,0.038461538461538464,0.08695652173913043,0.0,0.0,0.0,10,17.30,3,3,55.8,3,50,0.00019332022911819046,-0.037138914326905775,0.00019500887353450646,0.3456439393939394,0,0.21014492753623187,0.10714285714285714,0.10697674418604651,0.0,0.25,0.0,14,1.85,4,7,55.4,1,45,0.0001998010367870493,-0.0066927512355848436,0.0001957886597482902,0.34545454545454546,1,0.23273809523809524,0.05128205128205128,0.109375,0.5,0.5,0.0,10,6.00,5,1,55,7,53,0.00018962535143195113,0.00057312671327365,0.00017784132281169318,0.14722222222222223,0,0.14638297872340425,0.0948905109489051,0.07801418439716312,0.0,0.2,0.0,10,4.05,6,5,54,4,38,0.00018718961515315304,-0.01329941947605644,0.00018540338959456288,0.5069444444444444,0,0.10320478001086367,0.047619047619047616,0.10697674418604651,0.0,0.0,0.0,9,15.70,7,6,56.0,8,44,0.00018565330257625271,-0.01562664680049479,0.00018553297557609462,0.6160714285714286,0,0.12252252252252252,0.031914893617021274,0.08103975535168195,0.0,0.0,0.0,11,5.25,8,4,54.1,5,42,0.00018836779493902817,-0.02499682762759156,0.00018793177750273362,0.6546474358974359,0,0.17006802721088435,0.13372093023255813,0.07419354838709677,0.0,0.0,0.0,19,24.00,0
1,1,57,8,38,0.00016866613881456926,-0.0354734487087143,0.00016843560713941032,0.5723581973581974,0,0.12197309417040358,0.14285714285714285,0.08571428571428572,0.0,0.0,0.0,7,3.10,2,3,53,3,40,0.00017868855279708432,-0.011953597262024263,0.00017508075749558837,0.5560064935064936,0,0.05784204671857619,0.08333333333333333,0.1104199066874028,0.14285714285714285,0.14285714285714285,0.14285714285714285,7,1.85,3,2,55,5,42,0.00017618508177065062,-0.03669165068851316,0.00017253067898695087,0.4715909090909091,1,0.10264721772015127,0.14285714285714285,0.08745247148288973,0.0,0.5,0.0,7,7.95,4,4,53,1,0,0.00018925056775170325,-0.024299835255354202,0.00018582279352262094,0.6666666666666666,1,0.04556962025316456,0.10344827586206896,0.0,0.0,0.0,0.0,19,17.75,5,8,53.0,6,0,0.0001806662470463253,-0.10827409897050594,0.00018831878499488993,0.8397435897435898,1,0.16981132075471697,0.11494252873563218,0.1104199066874028,0.0,0.0,0.0,35,8.60,6,7,52.8,2,15,0.00020229476806532884,-0.043913071784806405,0.00020795159538770615,0.8076923076923077,0,0.16515837104072398,0.11494252873563218,0.1104199066874028,0.0,0.0,0.0,27,8.60,7,5,54.2,7,29,0.00019798561803813174,-0.03326780049350114,0.00019942428487668877,0.6585858585858586,0,0.08686659772492245,0.14285714285714285,0.08042488619119878,0.0,0.0,0.0,26,5.70,8,6,53,4,42,0.000188599451079867,-0.040268456375838924,0.0001859481246777717,0.4791666666666667,1,0.10084033613445378,0.075,0.1104199066874028,0.5,0.5,0.5,22,4.80,0
1,3,56,1500kum,NaN,0.00018696794129030423,-0.006893801276207839,0.0001835907331007855,0.27619047619047615,0,0.2320899940793369,0.32608695652173914,0.13636363636363635,0.1,0.0,0.0,19,3.05,2,6,52.3,1500kum,NaN,0.00014157028787183673,-0.02555950418898503,0.00014136393081756607,0.498015873015873,0,0.05784204671857619,0.24,0.10714285714285714,0.1875,0.125,0.0,32,8.50,3,4,56.0,1500kum,NaN,0.00015312576537751738,-0.003823867294060741,0.00015063437561436472,0.2598901098901099,0,0.2107164358819988,0.1160337552742616,0.14545454545454545,0.1111111111111111,0.0,0.0,34,1.85,4,2,60,1500kum,NaN,0.00020182529372436394,-0.010968017097726466,0.00020009435562576665,0.5803571428571428,0,0.14849044978434997,0.13725490196078433,0.0547945205479452,0.2,0.05,0.0,17,11.90,5,8,52.0,1500kum,NaN,0.00019116339134830578,-0.005797608179046126,0.00018859625740478387,0.2242063492063492,0,0.0757825370675453,0.10810810810810811,0.08783783783783784,0.14285714285714285,0.14285714285714285,0.0,9,5.15,6,5,56.5,1500kum,NaN,0.0001734291958768201,-0.04157815416043124,0.00017544135755729405,0.525,0,0.22747199220652703,0.125,0.2222222222222222,0.25,0.08333333333333333,0.0,23,5.50,7,7,54.5,1500kum,NaN,0.0001336055824890682,-0.02232134758341193,0.000133298616291149,0.5277777777777778,0,0.16515837104072398,0.10204081632653061,0.078125,0.02702702702702703,0.0,0.0,14,19.15,8,1,62,1500kum,NaN,0.00018716930854576977,-0.017107887293591598,0.00018770199444329355,0.8095238095238095,0,0.0971563981042654,0.14285714285714285,0.10144927536231885,0.030303030303030304,0.030303030303030304,0.0,19,17.10,0
1,7,57.3,6,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,2.55,2,4,57,5,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,2.80,3,6,57,8,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,2.10,4,3,57,2,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,26.55,5,2,57,4,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,10.30,6,5,57,7,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,24.80,7,8,57,3,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,9.10,8,1,57,1,0,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,NaN,23.45,0
1,6,55.5,1900çim,NaN,0.00017658594371858282,-0.03348337290698962,0.00017956967418041614,0.7670454545454546,0,0.028169014084507043,0.08641975308641975,0.10512820512820513,0.0,0.0,0.09090909090909091,21,17.70,2,1,61,1900çim,NaN,0.00018669713707209238,-0.006647067764169026,0.00018502821241504465,0.488095238095238,0,0.16822429906542055,0.08695652173913043,0.115,0.0,0.047619047619047616,0.09523809523809523,4,3.15,3,3,55,1900çim,NaN,0.0001379804883506327,-0.005205960626690742,0.00013653757970848407,0.3169642857142857,0,0.05864197530864197,0.16216216216216217,0.10179640718562874,0.0,0.0,0.18181818181818182,18,4.10,4,2,58,1900çim,NaN,0.00014534183209414397,-0.03246195134199428,0.00014739379431931768,0.7153846153846154,0,0.05758582502768549,0.1,0.07142857142857142,0.0,0.0,0.07142857142857142,16,15.30,5,5,56.2,1900çim,NaN,0.00012639415151189938,-0.007352682956488717,0.0001256457349629385,0.4039772727272727,0,0.14883148831488316,0.045454545454545456,0.05263157894736842,0.0,0.0,0.1111111111111111,9,2.40,6,4,57.2,1900çim,NaN,0.0001247031655465863,-0.007104715029080904,0.00012357406662400112,0.4848214285714285,0,0.12232142857142857,0.08823529411764706,0.1712707182320442,0.0,0.0,0.047619047619047616,18,3.90,7,7,53.4,1900çim,NaN,0.00014661859413104514,-0.00617772477780964,0.00014315873907594265,0.25946969696969696,0,0.10179640718562874,0.11818181818181818,0.07547169811320754,0.0,0.0,0.07142857142857142,14,10.10,8,8,52.0,1900çim,NaN,0.000168473029962737,-0.01006720789272731,0.00016602822777981826,0.3788850038850039,0,0.09059633027522936,0.13559322033898305,0.07547169811320754,0.0,0.0,0.0,14,10.60,0
1,3,60,1400kum,NaN,0.00018058217339670827,-0.037055130997424426,0.00018232104022846348,0.5396825396825397,0,0.1031703385276733,0.125,0.1232876712328767,0.0,0.04,0.0,35,4.25,2,2,60,1400kum,NaN,0.00013431706468953932,-0.023488353116563675,0.00013541096168560274,0.7327380952380953,0,0.22636936500242366,0.2631578947368421,0.2270967741935484,0.0,0.0,0.0,55,2.55,3,8,55,1400kum,NaN,0.00016976122759719079,-0.014386956187349625,0.00016889993789802056,0.6535714285714286,0,0.08615384615384615,0.14,0.13559322033898305,0.0,0.0,0.0,16,12.20,4,5,60,1400kum,NaN,0.00019102339461171049,-0.01236399841263938,0.0001872741236427882,0.38636363636363635,0,0.12232142857142857,0.1,0.08559782608695653,0.0,0.07407407407407407,0.0,11,4.40,5,4,58,1400kum,NaN,0.00020303575606843988,-0.020129974978183807,0.00020277436592307555,0.6563492063492063,0,0.16822429906542055,0.06666666666666667,0.10204081632653061,0.0,0.03333333333333333,0.0,19,7.55,6,1,61,1400kum,NaN,0.00017919047693684096,-0.005246509151642997,0.00017646809377416196,0.35803571428571423,0,0.23158515026517384,0.3404255319148936,0.14285714285714285,0.16666666666666666,0.0,0.0,16,2.60,7,6,56,1400kum,NaN,0.00014861785813934477,-0.014576699327099669,0.00014928700944578748,0.7008928571428572,0,0.0935412026726058,0.06818181818181818,0.09322033898305085,0.0,0.0,0.06896551724137931,27,20.50,8,7,58,1400kum,NaN,0.00015548912908982322,-0.04377134196324147,0.0001588776322565288,0.8263888888888888,0,0.10179640718562874,0.13274336283185842,0.21739130434782608,0.038461538461538464,0.0,0.0,21,20.35,0
1,8,52.0,6,56,0.00010795393270034732,-0.0006434646374216652,0.00010576642814294296,0.18333333333333335,0,0.10179640718562874,0.16666666666666666,0.1917808219178082,0.0,0.0,0.21428571428571427,16,2.00,2,3,60.5,5,90,0.00014879255652835343,-0.0018623900672529747,0.00014619440599594313,0.20238095238095238,0,0.1431235431235431,0.23255813953488372,0.10512820512820513,0.0,0.0967741935483871,0.25806451612903225,13,2.90,3,1,63,8,91,0.00012453661872566002,-0.003143170426054178,0.0001223385021380251,0.2361562049062049,0,0.23158515026517384,0.11818181818181818,0.07547169811320754,0.0,0.03225806451612903,0.25806451612903225,21,3.45,4,5,52.5,3,66,0.000123061935293266,-0.005609101305547075,0.00012137902178215807,0.3965277777777778,0,0.09059633027522936,0.12903225806451613,0.1276595744680851,0.0,0.0,0.09090909090909091,16,5.45,5,2,62,7,91,0.00010909756873641739,-0.045099993804892935,0.00011152939761636207,0.6729166666666667,0,0.16822429906542055,0.14814814814814814,0.08559782608695653,0.0,0.0,0.11428571428571428,21,16.45,6,6,52.0,2,60,0.0001100079553381864,-0.02131000509840952,0.00010998288417794012,0.5930555555555554,0,0.045454545454545456,0.07216494845360824,0.10080645161290322,0.0,0.0,0.05263157894736842,7,17.65,7,4,53.1,4,68,0.00019113118831396515,-0.021404386673411383,0.00019240468564117277,0.7483766233766234,0,0.1031703385276733,0.19672131147540983,0.0803030303030303,0.0,0.0,0.14285714285714285,9,12.80,8,7,51.5,1,58,0.00011481692662624936,-0.024555688074040564,0.00011509031379231441,0.5477272727272727,0,0.03731343283582089,0.19767441860465115,0.11210762331838565,0.0,0.0,0.06451612903225806,16,25.75,0
